"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"TitleEN";"ShortdescriptionEN";"LongdescriptionEN";"CalendarsummaryEN";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";"Type1";"Lastupdated";
"b9f609d6-f9e7-436a-9eb6-35a67910d022";"Vrijdag & Sandifort - Vrijdag vs. Sandifort";"Hun typeringen zijn zo mogelijk nog beroemder dan zijzelf. Wat wil je ook als je over zo'n genadeloos transformatietalent beschikt. Want La Sandifort is dus ook Dokter Corrie, Patty Brard en Trijntje Oosterhuis. Hij van Vrijdag is tevens Mark Rutte, Twan Huys en Marco Borsato en ooit Vliegende Panter. Het is een wonder dat ze überhaupt zelf nog weten wie ze zijn. Ze zijn in ieder geval rauw, razendsnel, scherp, over de top, super muzikaal en ongenadig grappig in een 'verrukkelijke voorstelling' (de Volkskrant *****). Te zien op 7 oktober 2017 in Schouwburg Amstelveen.";"";"Za 7 oktober 2017 20:30 uur.";"Vrijdag & Sandifort - Vrijdag vs. Sandifort";"";"";"Sa 7 October 2017 20:30 hour.";"";"2.9.1";"Schouwburg Amstelveen";"AMSTELVEEN";"Stadsplein 100";"1181 ZM";"52,3028070";"4,8587020";"https://schouwburgamstelveen.nl/seizoen-17-18/vrijdag-sandifort/?ypeventid=1912261121-1484655349";"https://media.iamsterdam.com/ndtrc/Images/b9/b9f609d6-f9e7-436a-9eb6-35a67910d022/1f4ef26d-8be9-488d-9fed-62e84bc2cbc1.jpg";"https://media.iamsterdam.com/ndtrc/Images/b9/b9f609d6-f9e7-436a-9eb6-35a67910d022/1f4ef26d-8be9-488d-9fed-62e84bc2cbc1.jpg";"";"";"07-10-2017";"";"2017-05-02 16:39:22";
"753b44a8-c594-4101-9546-068d745be9a7";"Daniël Arends - De Afterparty";"Na de uitverkochte zalen in 16/17 komt Daniël Arends opnieuw naar Schouwburg Amstelveen op 12 oktober 2017 met De Afterparty. Omdat hij het zo fijn vindt om voor u op te treden, zou hij dan ook vereerd zijn als u wederom massaal komt opdagen. De ingrediënten? Schurende eerlijkheid & incorrecte grappen. Het NRC gaf zijn vorige programma Carte Blanche maar liefst vier sterren en schreef: 'Dwars door zijn kronkelige rederneringen stookt Arends een vreugdevuur van onwaarschijnlijk veel steengoede grappen, die vlijmscherp van karakter, feilloos getimed en puntgaaf geformuleerd zijn.'";"";"Do 12 oktober 2017 20:00 uur.";"Daniël Arends - De Afterparty";"";"";"Th 12 October 2017 20:00 hour.";"";"2.9.1";"Schouwburg Amstelveen";"AMSTELVEEN";"Stadsplein 100";"1181 ZM";"52,3028070";"4,8587020";"https://schouwburgamstelveen.nl/seizoen-17-18/dani%C3%ABl-arends/?ypeventid=2282452737-1483724931";"https://media.iamsterdam.com/ndtrc/Images/75/753b44a8-c594-4101-9546-068d745be9a7/4ffd4f7a-34e4-4c91-996d-a96ec450d82d.jpg";"https://media.iamsterdam.com/ndtrc/Images/75/753b44a8-c594-4101-9546-068d745be9a7/4ffd4f7a-34e4-4c91-996d-a96ec450d82d.jpg";"";"";"12-10-2017";"";"2017-05-02 15:09:31";
"c4aec289-1dd7-4d1c-aff2-0558b17ae04a";"Theater Gooiland: Tineke Schouten- T splitsing";"Hoe is ze eigenlijk cabaretière geworden en waarom geen zangeres, wat ze eigenlijk wilde? Waarom staat ze nog steeds avond na avond op het podium terwijl ze het ook zeer naar haar zin heeft als ze met haar gezin vakantie kan vieren? Het maken van al die keuzes mag soms best vermoeiend zijn";"Het maken van keuzes, we doen het iedere dag. Kleine nietszeggende beslissingen over welke kleur sokken te dragen tot belangrijke levensveranderende keuzes om je baan op te zeggen en met heel je hebben en houwen te vertrekken naar het buitenland. Het maken van de ene keuze sluit zo vaak andere interessante richtingen uit. In Tineke&rsquo:s nieuwe theatershow kijkt ze nog eens goed naar haar eigen keuzes die ze in de loop van haar leven heeft gemaakt.<br /> <br /> Hoe is ze eigenlijk cabareti&egrave:re geworden en waarom geen zangeres, wat ze eigenlijk wilde? Waarom staat ze nog steeds avond na avond op het podium terwijl ze het ook zeer naar haar zin heeft als ze met haar gezin vakantie kan vieren? Het maken van al die keuzes mag soms best vermoeiend zijn, maar Tineke zou Tineke niet zijn als ze er ook niet de humor van inziet. Dus zullen in deze zeer persoonlijke show ook haar bekende typetjes langskomen. Voor vanavond is de keuze op de T-splitsing dan ook makkelijk gemaakt en neem je 'afslag theater'.";"Wo 22 november 2017 20:15 uur.";"Theater Gooiland: Tineke Schouten- T splitsing";"";"";"We 22 November 2017 20:15 hour.";",";"2.3.18,2.9.1";"Amrâth Grand Hotel & Theater Gooiland";"HILVERSUM";"Emmastraat 2";"1211 NG";"52,2219460";"5,1776820";"http://www.gooilandtheater.nl/voorstelling/tineke-schouten";"https://media.iamsterdam.com/ndtrc/Images/c4/c4aec289-1dd7-4d1c-aff2-0558b17ae04a/fb385310-510e-4a54-b85f-5ee602727c3b.jpg";"https://media.iamsterdam.com/ndtrc/Images/c4/c4aec289-1dd7-4d1c-aff2-0558b17ae04a/fb385310-510e-4a54-b85f-5ee602727c3b.jpg";"";"";"22-11-2017";"";"2017-05-09 10:01:56";
"73c24df6-c8f2-4ba5-b876-e2d5fbe16151";"Silvester Zwaneveld, Emiel de Jong en Ruud Smulders - Houston, we have a problem";"Er kan veel in het theater, zoniet álles? maar sciencefiction, daar brandt niemand zich aan. Zeg dat tegen Silvester Zwaneveld, Emiel de Jong en Ruud Smulders, zij nemen u mee op reis tot ver buiten de dampkring. Laat u in een duizelingwekkende baan rond de aarde slingeren, verlies uzelf in zwarte gaten en kom los van uw stoel in deze zwaartekrachtloze komedie.";"";"Vr 9 februari 2018 20:30 uur.";"Silvester Zwaneveld, Emiel de Jong en Ruud Smulders - Houston, we have a problem";"";"";"Fr 9 February 2018 20:30 hour.";"";"2.9.1";"Schouwburg Amstelveen";"AMSTELVEEN";"Stadsplein 100";"1181 ZM";"52,3028070";"4,8587020";"http://www.schouwburgamstelveen.nl";"https://media.iamsterdam.com/ndtrc/Images/73/73c24df6-c8f2-4ba5-b876-e2d5fbe16151/975bb277-dfb3-4983-b52c-49fd6c4c773c.jpg";"https://media.iamsterdam.com/ndtrc/Images/73/73c24df6-c8f2-4ba5-b876-e2d5fbe16151/975bb277-dfb3-4983-b52c-49fd6c4c773c.jpg";"";"";"09-02-2018";"";"2017-05-15 16:41:39";
"281c04c9-0d79-41a6-905c-43412d206aac";"Yentl & de Boer en Lonneke Dort";"Yentl en de Boer is hét nieuwe muzikaal-absurdistische cabaretduo van Nederland. Sinds ze er op het Amsterdams Kleinkunst Festival zonder pardon met zowel de publieksprijs als de felbegeerde Wim Sonneveldprijs vandoor gingen is het hard gegaan. // Lonneke Dort heeft dit jaar het Amsterdamse Kleinkunst Festival gewonnen. Bij de droogkomische Lonneke Dort zag de jury van het AFK ?sterke liedjes die taalvaardigheid laten horen en die kleine verrassingen in petto hebben?. Dort begeleidt die woorden met gortdroge mimiek, een opgetrokken wenkbrauw en soms met een blik waar je even in blijft hangen.";"";"Za 2 september 2017 20:30 - 22:00 uur.";"Yentl & de Boer en Lonneke Dort";"";"";"Sa 2 September 2017 20:30 - 22:00 hour.";"";"2.9.1";"Vondelpark Openluchttheater";"AMSTERDAM";"Vondelpark 5A";"1071 AA";"52,3584580";"4,8710610";"http://openluchttheater.nl";"https://media.iamsterdam.com/ndtrc/Images/28/281c04c9-0d79-41a6-905c-43412d206aac/d0496f9e-a770-4cbc-98b2-bf917c445f28.jpg";"https://media.iamsterdam.com/ndtrc/Images/28/281c04c9-0d79-41a6-905c-43412d206aac/d0496f9e-a770-4cbc-98b2-bf917c445f28.jpg";"";"";"02-09-2017";"";"2017-05-15 15:15:44";
"d74f88d1-71d7-4a18-9c9d-9d3323e17afd";"Rob It Like It's Hot!";"Een toegewijde, zeventig minuten durende viering van Rob's prestaties in het leven: sex & fietsen, rock shows & diabetes en wiet roken & wiet smokkelen! Het is een show over social media, radio, TED talks en beatboxen. Te zien  in Boom Chicago in Amsterdam. ";"<h2>Standup comedy, storytelling en spektakel</h2> Rob It Like It's Hot! transformeert het podium in een enerverende plek met standup comedy, storytelling en spektakel. Er komt ook een beetje improvisatie bij kijken. Ok, meer dan een beetje. Ongeveer 13,5% improvisatie. En het belangrijkst van allemaal, hij leert je om te beat-boxen.&nbsp:";"Meerdere data: Vanaf za 10 december 2016 t/m za 26 augustus 2017.";"Rob It Like It's Hot!";"Rob It Like It?s Hot! is an engaging seventy minute celebration of the accomplishments of Rob: Sex and cycling! Rock shows and diabetes! Weed smoking and weed smuggling! It?s a show about social media, radio, TED talks and beatbox. You know, Rob shit.";"";"Multiple data: from Sa 10 December 2016 to Sa 26 August 2017.";"";"2.9.1";"Boom Chicago";"AMSTERDAM";"Rozengracht 117";"1016 LV";"52,3729820";"4,8797410";"http://www.boomchicago.nl";"https://media.iamsterdam.com/ndtrc/Images/d7/d74f88d1-71d7-4a18-9c9d-9d3323e17afd/377669ef-fbab-4781-92d8-256849ff3c3b.jpg";"https://media.iamsterdam.com/ndtrc/Images/d7/d74f88d1-71d7-4a18-9c9d-9d3323e17afd/377669ef-fbab-4781-92d8-256849ff3c3b.jpg";"";"";"10-12-2016,17-12-2016,30-12-2016,04-02-2017,18-02-2017,04-03-2017,18-03-2017,01-04-2017,14-04-2017,15-04-2017,29-04-2017,02-06-2017,09-06-2017,16-06-2017,23-06-2017,20-05-2017,27-05-2017,30-06-2017,07-07-2017,28-07-2017,12-08-2017,19-08-2017,26-08-2017";"";"2017-05-17 16:21:09";
"6db5aead-5e42-43f7-ac87-aa5382c1301d";"Katinka Polderman";"Al ruim tien jaar geldt droogkloot Polderman als één van de best bewaarde geheimen van de Nederlandse en Vlaamse theaters. Toch maakte ze al vier voorstellingen vol vrolijk cynisme, subtiele lompheid, doortimmerde liedjes en hilarische oneliners.  Katinka staat bekend om haar ?kenmerkende onderkoelde humor? (Telegraaf) en haar soms gevoelige, soms hilarische, maar altijd virtuoze liedjes. ?Polderman behoort tot de besten in het liedjesvak.? (NRC). // Met aansluitend een openluchtfilm van World Cinema Amsterdam ";"";"Za 12 augustus 2017 20:30 - 21:00 uur, Toelichting: Met aansluitend een film van World Cinema Amsterdam.";"Katinka Polderman";"";"";"Sa 12 August 2017 20:30 - 21:00 hour.";"";"2.9.1";"Vondelpark Openluchttheater";"AMSTERDAM";"Vondelpark 5A";"1071 AA";"52,3584580";"4,8710610";"http://openluchttheater.nl";"https://media.iamsterdam.com/ndtrc/Images/6d/6db5aead-5e42-43f7-ac87-aa5382c1301d/4333083d-105b-43c3-89ca-6997a15d239f.jpg";"https://media.iamsterdam.com/ndtrc/Images/6d/6db5aead-5e42-43f7-ac87-aa5382c1301d/4333083d-105b-43c3-89ca-6997a15d239f.jpg";"";"";"12-08-2017";"";"2017-05-24 14:31:14";
"52d130c0-de18-4589-85e0-c63bffe4e255";"Martijn Koning";"Martijn Koning is een Nederlandse stand-upcomedian, cabaretier, columnist en tekstschrijver. In 2004 begon Koning met stand-upcomedy bij het Comedy Cafe en nog datzelfde jaar was hij een van de finalisten van de Culture Comedy Award. Zeg tegen hem rechts en hij gaat links. Heeft hij net een nieuw theaterprogramma gemaakt, wil hij het liefst meteen door met iets nieuws. Titels vindt hij onzin. ??Ik kom gewoon langs. En doe sowieso iedere avond iets anders. Ik kan niet zo?n vast stramien doen. Ik word gek als ik elke avond hetzelfde doe.?";"";"Za 19 augustus 2017 20:30 - 21:00 uur.";"Martijn Koning";"";"";"Sa 19 August 2017 20:30 - 21:00 hour.";"";"2.9.1";"Vondelpark Openluchttheater";"AMSTERDAM";"Vondelpark 5A";"1071 AA";"52,3584580";"4,8710610";"http://openluchttheater.nl";"https://media.iamsterdam.com/ndtrc/Images/52/52d130c0-de18-4589-85e0-c63bffe4e255/c5351cb0-56a2-4ead-97e4-9424d59ad0a1.jpg";"https://media.iamsterdam.com/ndtrc/Images/52/52d130c0-de18-4589-85e0-c63bffe4e255/c5351cb0-56a2-4ead-97e4-9424d59ad0a1.jpg";"";"";"19-08-2017";"";"2017-05-24 14:30:18";
"9bb41cb4-be51-4b12-b9f9-f01f3d881b21";"Niet Schieten! - Tijd voor een trio";"Twee mannen in de herfst van hun leven plukken een fris groen blaadje, Esmee. Een blaadje om van te houden, mee te pronken en misschien om hun eigen gebreken mee te maskeren. Maar het blaadje blijkt een eigen wil te hebben en een niet te temperen energie. Met een enorme dosis humor worden de mannen geconfronteerd met hun 'Midlife'. Ook de twijfeldertiger Esmee krijgt het voor haar kiezen. Kwetsbaar, herkenbaar en vooral hilarisch cabaret over leeftijdsconflicten, afhankelijkheid en persoonlijke crisissen.";"";"Vr 30 maart 2018 20:30 uur.";"Niet Schieten! - Tijd voor een trio";"";"";"Fr 30 March 2018 20:30 hour.";"";"2.9.1";"Schouwburg Amstelveen";"AMSTELVEEN";"Stadsplein 100";"1181 ZM";"52,3028070";"4,8587020";"http://www.schouwburgamstelveen.nl";"https://media.iamsterdam.com/ndtrc/Images/9b/9bb41cb4-be51-4b12-b9f9-f01f3d881b21/293bed78-645b-4ca5-8714-d2922397a0ee.jpg";"https://media.iamsterdam.com/ndtrc/Images/9b/9bb41cb4-be51-4b12-b9f9-f01f3d881b21/293bed78-645b-4ca5-8714-d2922397a0ee.jpg";"";"";"30-03-2018";"";"2017-05-24 16:19:40";
"f988ce1e-c0d7-4ce7-b5fe-d0d8878e6aa3";"Le Roux & D'Anjou - Echte Liefde";"Lieneke Le Roux en Mylène d'Anjou slaan de handen ineen voor de absurdistische, muzikale cabaretkomedie Echt Liefde, daarbij geïnspireerd door Absolutely Fabulous. Terwijl de wereld om hen heen razendsnel verandert, doen de dames - in hun verwoede zoektocht naar zingeving en liefde - er alles aan om dat tempo bij te benen, maar liggen ze op ramkoers met de Cloud, de jeugd en hun sociale leven? Op hartverscheurende, humoristische wijze, met de moed der wanhoop en tomeloze energie wordt er gezongen, gedanst, gevochten, getroost en liefgehad. ";"";"Wo 4 april 2018 20:30 uur.";"Le Roux & D'Anjou - Echte Liefde";"";"";"We 4 April 2018 20:30 hour.";"";"2.9.1";"Schouwburg Amstelveen";"AMSTELVEEN";"Stadsplein 100";"1181 ZM";"52,3028070";"4,8587020";"http://www.schouwburgamstelveen.nl";"https://media.iamsterdam.com/ndtrc/Images/f9/f988ce1e-c0d7-4ce7-b5fe-d0d8878e6aa3/adfe0c57-a33b-4bb0-9559-1fc76d0c5b24.jpg";"https://media.iamsterdam.com/ndtrc/Images/f9/f988ce1e-c0d7-4ce7-b5fe-d0d8878e6aa3/adfe0c57-a33b-4bb0-9559-1fc76d0c5b24.jpg";"";"";"04-04-2018";"";"2017-05-24 16:15:15";
"d8f3d40e-ae4f-4c56-af6d-37624053f84a";"Spant Bussum: Jon van Eerd 'Harrie en Eva'";"Op de zevende dag was er rust. Totdat Harrie het Paradijs binnenwandelde?";"";"Vr 20 april 2018 20:15 uur.";"Spant Bussum: Jon van Eerd 'Harrie en Eva'";"";"";"Fr 20 April 2018 20:15 hour.";",";"2.3.18,2.9.1";"Theater Spant!";"BUSSUM";"Dr Abraham Kuyperlaan 3";"1402 SB";"52,2701790";"5,1750520";"http://www.spant.org";"https://media.iamsterdam.com/ndtrc/Images/d8/d8f3d40e-ae4f-4c56-af6d-37624053f84a/17cf0cde-42e8-4ad2-9d52-99fa90bdee4a.jpg";"https://media.iamsterdam.com/ndtrc/Images/d8/d8f3d40e-ae4f-4c56-af6d-37624053f84a/17cf0cde-42e8-4ad2-9d52-99fa90bdee4a.jpg";"";"";"20-04-2018";"";"2017-06-08 14:45:47";
"9f6821b2-2d36-4dbe-81bc-9d5af57f0c12";"Spant Bussum: Karin Bruers en Nol Havens 'Bruers haalt uit'";"Karin is weer terug met een solovoorstelling in het theater, na ja?solo, met Nol Havens samen";"";"Vr 20 april 2018 20:15 uur.";"Spant Bussum: Karin Bruers en Nol Havens 'Bruers haalt uit'";"";"";"Fr 20 April 2018 20:15 hour.";",";"2.3.18,2.9.1";"Theater Spant!";"BUSSUM";"Dr Abraham Kuyperlaan 3";"1402 SB";"52,2701790";"5,1750520";"http://www.spant.org";"https://media.iamsterdam.com/ndtrc/Images/9f/9f6821b2-2d36-4dbe-81bc-9d5af57f0c12/bf1a9495-ead6-47eb-83b0-592739f58793.jpg";"https://media.iamsterdam.com/ndtrc/Images/9f/9f6821b2-2d36-4dbe-81bc-9d5af57f0c12/bf1a9495-ead6-47eb-83b0-592739f58793.jpg";"";"";"20-04-2018";"";"2017-06-08 14:44:52";
"c174184e-06a0-4d84-9eca-ff2f2b973d3e";"Spant Bussum Ali B 'Koorts'";"Volgens Ali B is Nederland misschien niet ziek, maar heeft het wel koorts. ";"Het verhitte debat doet de temperatuur namelijk flink oplopen. Maar koorts is ook het begin van genezing, van opwinding en nieuwe kansen. Ali steekt daarom zijn thermometer in de bilspleet van de Nederlandse maatschappij en meet de temperatuur.";"Za 26 mei 2018 20:15 uur.";"Spant Bussum Ali B 'Koorts'";"";"";"Sa 26 May 2018 20:15 hour.";",";"2.3.18,2.9.1";"Theater Spant!";"BUSSUM";"Dr Abraham Kuyperlaan 3";"1402 SB";"52,2701790";"5,1750520";"";"https://media.iamsterdam.com/ndtrc/Images/c1/c174184e-06a0-4d84-9eca-ff2f2b973d3e/99d12704-b4fa-4ece-b63a-fabf56c640fd.jpg";"https://media.iamsterdam.com/ndtrc/Images/c1/c174184e-06a0-4d84-9eca-ff2f2b973d3e/99d12704-b4fa-4ece-b63a-fabf56c640fd.jpg";"";"";"26-05-2018";"";"2017-06-08 15:56:31";
"64b18659-6369-4c6c-bf8d-3660e2660472";"Spant Bussum Le Roux & d 'Anjou";"Actrice Lieneke Le Roux en cabaretière Mylène d?Anjou slaan de handen ineen voor de absurdistische, muzikale cabaretkomedie ?Echt Liefde?.";"";"Za 12 mei 2018 20:15 uur.";"Spant Bussum Le Roux & d 'Anjou";"";"";"Sa 12 May 2018 20:15 hour.";",";"2.3.18,2.9.1";"Theater Spant!";"BUSSUM";"Dr Abraham Kuyperlaan 3";"1402 SB";"52,2701790";"5,1750520";"http://www.spant.org";"https://media.iamsterdam.com/ndtrc/Images/64/64b18659-6369-4c6c-bf8d-3660e2660472/38446b4f-5ef0-4c7a-8b45-0b77fa50ba6f.jpg";"https://media.iamsterdam.com/ndtrc/Images/64/64b18659-6369-4c6c-bf8d-3660e2660472/38446b4f-5ef0-4c7a-8b45-0b77fa50ba6f.jpg";"";"";"12-05-2018";"";"2017-06-08 15:20:51";
"9ec8ba62-3a12-44a1-97f0-0ffd1e185896";"Singer Laren:Van der Laan & Woe 'Pesetas-try out'";"Scènes, muzikale acts en een absurd hoge grapdichtheid: het zou eeuwig zonde zijn om het te missen. Of, zoals het aloude spreekwoord zegt: ?Wilt men naer ietsch mietersch toe, kiesch voor Van der Laan en Woe?.";"Godzijdank, hij is weer terug in de theaters: Niels van der Laan! En alsof dat nog niet genoeg is, keert ook Jeroen Woe weer terug op de planken! Het kan niet op. Een jaar lang waren ze alleen te zien in het succesvolle tv-programma &lsquo:De Kwis&rsquo:, maar nu kunt u ook weer in het theater genieten van dit virtuoze cabaretduo. Sc&egrave:nes, muzikale acts en een absurd hoge grapdichtheid: het zou eeuwig zonde zijn om het te missen. Of, zoals het aloude spreekwoord zegt: &ldquo:Wilt men naer ietsch mietersch toe, kiesch voor Van der Laan en Woe&rdquo:.";"Za 21 oktober 2017 20:15 uur.";"Singer Laren:Van der Laan & Woe 'Pesetas-try out'";"";"";"Sa 21 October 2017 20:15 hour.";",";"2.3.18,2.9.1";"Singer Laren";"LAREN NH";"Oude Drift 1";"1251 BS";"52,2593870";"5,2216210";"http://www.singerlaren.nl";"https://media.iamsterdam.com/ndtrc/Images/9e/9ec8ba62-3a12-44a1-97f0-0ffd1e185896/7f97db25-457d-4d36-a585-cede2a734044.jpg";"https://media.iamsterdam.com/ndtrc/Images/9e/9ec8ba62-3a12-44a1-97f0-0ffd1e185896/7f97db25-457d-4d36-a585-cede2a734044.jpg";"";"";"21-10-2017";"";"2017-06-09 13:40:49";
"fd6f5864-1bba-459c-9f29-1212e84614fb";"Singer Laren: Madelijne Kool 'Wake Up Kool- try out'";"Opeens zie je alles haarscherp: je werk, je relatie, je valkuilen, een naaktslak, de glasbak, de wereld.";"Opeens zie je alles haarscherp: je werk, je relatie, je valkuilen, een naaktslak, de glasbak, de wereld. Daar is ie: jouw Wake up Kool. Gooi je de boel om of houd je wat je hebt? Cabareti&egrave:re Madelijne Kool stapte uit het bedrijfsleven het podium op. Nu ontrafelt ze de complotten van het leven &ndash:denkt ze- en kust ze je wakker met herkenbare teksten, rake grappen en mooie liedjes. Een programma waar je thuis nog even lekker mee door kan. &quot:Kool is grappig, ontroert, is echt en zingt liedjes die je recht in je hart raken&quot:. &ldquo:Wij waren verrast door je vlijmscherpe teksten, je contact met het publiek, je mooie stem en een zeer gezonde dosis humor&rdquo:.";"Vr 6 oktober 2017 20:15 uur.";"Singer Laren: Madelijne Kool 'Wake Up Kool- try out'";"";"";"Fr 6 October 2017 20:15 hour.";",";"2.3.18,2.9.1";"Singer Laren";"LAREN NH";"Oude Drift 1";"1251 BS";"52,2593870";"5,2216210";"http://www.singerlaren.nl";"https://media.iamsterdam.com/ndtrc/Images/fd/fd6f5864-1bba-459c-9f29-1212e84614fb/6431b0f5-7eab-4dd3-bb0f-5789aa4976c9.jpg";"https://media.iamsterdam.com/ndtrc/Images/fd/fd6f5864-1bba-459c-9f29-1212e84614fb/6431b0f5-7eab-4dd3-bb0f-5789aa4976c9.jpg";"";"";"06-10-2017";"";"2017-06-09 13:05:40";
"4d87c630-c472-47a9-9967-66a7af2cae3a";"Singer Laren: Dolf Jansen & Louise Korthals 'Oudejaars 2017-Omdat we het waard zijn (Try-out) '";"Omdat sommige jaren al vanaf januari trillen op hun grondvesten. Omdat u schreeuwde om verandering en ze niet te beroerd zijn om daarnaar te luisteren. Omdat de vrouw altijd gelijk heeft, maar de waarheid desondanks in het midden ligt. Daarom twee natuurrampen voor de prijs van één: Louise en Dolf.";"Voor het eerst gaan een man en vrouw s&aacute:men het jaar te lijf. En elkaar.<br /> <br /> Voor Dolf wordt het de 26ste keer dat hij een oudejaarsvoorstelling maakt. En voor het eerst sinds 2007 doet hij dat niet alleen. Jansen gaat het podium op met cabareti&egrave:re Louise Korthals, trotse bezitster van de Wim Sonneveldprijs en de Neerlands Hoop.<br /> Waarom maken ze deze voorstelling? Omdat sommige jaren al vanaf januari trillen op hun grondvesten. Omdat u schreeuwde om verandering en ze niet te beroerd zijn om daarnaar te luisteren. Omdat de vrouw altijd gelijk heeft, maar de waarheid desondanks in het midden ligt. Daarom twee natuurrampen voor de prijs van &eacute:&eacute:n: Louise en Dolf.<br />";"Wo 4 oktober 2017 20:15 uur.";"Singer Laren: Dolf Jansen & Louise Korthals 'Oudejaars 2017-Omdat we het waard zijn (Try-out) '";"";"";"We 4 October 2017 20:15 hour.";",";"2.3.18,2.9.1";"Singer Laren";"LAREN NH";"Oude Drift 1";"1251 BS";"52,2593870";"5,2216210";"http://www.singerlaren.nl";"https://media.iamsterdam.com/ndtrc/Images/4d/4d87c630-c472-47a9-9967-66a7af2cae3a/747ed7d0-55f4-4424-9423-76b473e5ed48.jpg";"https://media.iamsterdam.com/ndtrc/Images/4d/4d87c630-c472-47a9-9967-66a7af2cae3a/747ed7d0-55f4-4424-9423-76b473e5ed48.jpg";"";"";"04-10-2017";"";"2017-06-09 13:00:22";
"b876e013-918c-4381-a336-942ea94cf125";"Singer Laren:' Scherven brengen geluk 2.0' Marc de Hond";"Het nieuwe leven van een optimist";"Hoe hard mag je lachen om iemand in een rolstoel? Heel hard, vindt Marc de Hond. Dat doet hij namelijk zelf ook. Jezelf rollend voortbewegen heeft namelijk zo z&rsquo:n voordelen: je hoeft niet mee te doen aan g&ecirc:nante polonaises, kunt overal gratis je auto parkeren en hebt altijd de beste plek bij concerten. Bovendien denken alle meisjes dat je heel onschuldig bent. Marc vertelt op absurdistische wijze hoe het grootste drama in zijn leven uiteindelijk ook veel moois opleverde. Confronterend, ontroerend, maar vooral vol humor.<br /> In december 2017 is het precies vijftien jaar geleden dat hij een dwarslaesie kreeg. De Hond wil dat groots vieren en trekt daarom op veler verzoek nog eenmaal langs (een select aantal) theaters met zijn succesvoorstelling &lsquo:Scherven brengen geluk&rsquo:.";"Wo 13 december 2017 20:15 uur.";"Singer Laren:' Scherven brengen geluk 2.0' Marc de Hond";"";"";"We 13 December 2017 20:15 hour.";",";"2.3.18,2.9.1";"Singer Laren";"LAREN NH";"Oude Drift 1";"1251 BS";"52,2593870";"5,2216210";"http://www.singerlaren.nl";"https://media.iamsterdam.com/ndtrc/Images/b8/b876e013-918c-4381-a336-942ea94cf125/5eb69ffd-c36c-4694-807e-4045ec6128fc.jpg";"https://media.iamsterdam.com/ndtrc/Images/b8/b876e013-918c-4381-a336-942ea94cf125/5eb69ffd-c36c-4694-807e-4045ec6128fc.jpg";"";"";"13-12-2017";"";"2017-06-09 16:32:32";
"9b032ab9-1927-43eb-ab21-bcfbb2baeaba";"Singer Laren: 'Er mag zovéel niet (Première)' door  Andermans Veren Live";"Muzikale trip langs de mooiste Nederlandstalige theaterliedjes.";"Muzikaal cabaretgezelschap Andermans Veren Live! houdt het Nederlandstalige theaterlied levend en zet kleinkunsthelden van vroeger en nu op een voetstuk. Samen met Kick van der Veer worden aan de hand van een thema de mooiste, grappigste en vreemdste liedjes van de afgelopen honderd jaar bij elkaar gezocht. Voor hun vierde programma is de rode draad fout en stout, want er mag zov&eacute:el niet. Roddelen, elkaar het leven zuur maken, vreemdgaan, te veel drinken en stelen: het is niet ok&eacute:, maar het heeft wel prachtige liedjes opgeleverd. Dus zing mee met oude hits, lach om vergeten nummers en laat je verrassen door onbekende kleinkunstparels. Want dat mag w&eacute:l.";"Wo 8 november 2017 20:15 uur.";"Singer Laren: 'Er mag zovéel niet (Première)' door  Andermans Veren Live";"";"";"We 8 November 2017 20:15 hour.";",";"2.3.18,2.9.1";"Singer Laren";"LAREN NH";"Oude Drift 1";"1251 BS";"52,2593870";"5,2216210";"http://www.singerlaren.nl";"https://media.iamsterdam.com/ndtrc/Images/9b/9b032ab9-1927-43eb-ab21-bcfbb2baeaba/fc3c5362-89b7-498e-ad25-5db92b0939b8.jpg";"https://media.iamsterdam.com/ndtrc/Images/9b/9b032ab9-1927-43eb-ab21-bcfbb2baeaba/fc3c5362-89b7-498e-ad25-5db92b0939b8.jpg";"";"";"08-11-2017";"";"2017-06-09 15:30:28";
